file	percent	reads	taxon_id	taxon_name
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	23.169249	23343123	31989	Rhodobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	4.223160	4254853	1162	Nostocaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	2.259724	2276682	186822	Paenibacillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	1.380564	1390925	85015	Nocardioidaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.982979	990356	41297	Sphingomonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.330659	333140	45401	Hyphomicrobiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.157896	159081	335929	Erythrobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.122042	122958	41294	Bradyrhizobiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.113208	114058	1892263	Hapalosiphonaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.111462	112298	433	Acetobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.078401	78989	69277	Phyllobacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.066076	66572	82115	Rhizobiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.049470	49841	1185	Rivulariaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.045188	45527	1762	Mycobacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.044613	44948	41295	Rhodospirillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.038811	39102	119859	Tolypothrichaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.037028	37306	186817	Bacillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.027203	27407	119045	Methylobacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.025882	26076	1182	Scytonemataceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.022803	22974	1892259	Aphanizomenonaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.022629	22799	2070	Pseudonocardiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.020476	20630	1892264	Fortieaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.016034	16154	335928	Xanthobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.015804	15923	255475	Aurantimonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.015153	15267	76892	Caulobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.008973	9040	119043	Rhodobiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.008665	8730	31993	Methylocystaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.008611	8676	80864	Comamonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.007467	7523	45404	Beijerinckiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.006958	7010	2062	Streptomycetaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.006528	6577	85021	Intrasporangiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.006497	6546	69657	Hyphomonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.006169	6215	655351	Cohaesibacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.005876	5920	85025	Nocardiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.005782	5825	1892252	Microcoleaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.005433	5474	28256	Halomonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.005143	5182	135621	Pseudomonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.004764	4800	506	Alcaligenaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.004572	4606	85023	Microbacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.004351	4384	1892261	Chlorogloeopsidaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.004220	4252	135620	Oceanospirillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.004210	4242	119060	Burkholderiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.004127	4158	1268	Micrococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003847	3876	1890464	Chroococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003832	3861	2448023	Ilumatobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003788	3816	2036754	Chelatococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003748	3776	2049	Actinomycetaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003474	3500	1892258	Symphyonemataceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003371	3396	1890438	Leptolyngbyaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.003035	3058	49546	Flavobacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002824	2845	75682	Oxalobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002702	2722	1892254	Oscillatoriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002671	2691	84994	Acidimicrobiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002642	2662	28056	Micromonosporaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002627	2647	32033	Xanthomonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002539	2558	118882	Brucellaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002484	2503	1890528	Chroococcidiopsidaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002411	2429	255527	Saccharospirillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002241	2258	641	Vibrionaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002192	2208	85030	Geodermatophilaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.002178	2194	1890449	Microcystaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001992	2007	85026	Gordoniaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001702	1715	2012	Thermomonosporaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001625	1637	2004	Streptosporangiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001537	1549	1775411	Rhodanobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001485	1496	1890426	Synechococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001481	1492	186807	Peptococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001435	1446	1798913	Microthrixaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001419	1430	1046	Chromatiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001416	1427	2507943	Heteroscytonemataceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001388	1398	74712	Frankiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001369	1379	85017	Promicromonosporaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001361	1371	2137278	Salinarimonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001331	1341	568386	Sinobacteraceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001326	1336	1890436	Pseudanabaenaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001315	1325	2008790	Thiobacillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001280	1290	89373	Cytophagaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001265	1274	85016	Cellulomonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001235	1244	186818	Planococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001230	1239	31979	Clostridiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001181	1190	809	Chlamydiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001176	1185	31957	Propionibacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001091	1099	31	Myxococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001052	1060	255474	Parvularculaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.001031	1039	85018	Dermatophilaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000966	973	75787	Rhodocyclaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000942	949	541000	Ruminococcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000885	892	1331809	Kordiimonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000849	855	543	Enterobacteriaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000812	818	72275	Alteromonadaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000779	785	203557	Verrucomicrobiaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000773	779	1643957	Roseiarcaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000737	743	1903411	Yersiniaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000717	722	186823	Alicyclobacillaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000715	720	145357	Dermacoccaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000705	710	1217100	Jiangellaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000658	663	1892255	Gomontiellaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000654	659	1890450	Aphanothecaceae
kaiju_out/Desmonostoc_geniculatum_HA4340-LM1.reads.out	0.000646	651	1903410	Pectobacteriaceae
