GENUS	SPECIES	STRAIN	BioProject	SRA Project	SRA Run	IMG_ID	N_Reads	N_Contigs	N50	Habitat	Location
Aetokthonos	hydrillicola	B3-Florida	PRJNA617093	SRP274198	SRR12347192	3300036376	56817878			aquatic epiphyte	South Carolina, USA
Aphanocapsa	lilacina	HA4352-LM1	PRJNA677053	SRP296741	SRR13206895	3300039303	58991043			cave rock wall	Hawaii, USA
Aphanocapsa	sp.	GSE-SYN-MK-11-07L	PRJNA621664	SRP259801	SRR11678123	3300035009	26644370			desert wet wall	Utah, USA
Aphanothece	saxicola	GSE-SYN-MK-01-06B	PRJNA621658	SRP259793	SRR11676827	3300035003	50225611			desert wet wall	Utah, USA
Aphanothece	sp.	CMT-3BRIN-NPC111	PRJNA617094	SRP274201	SRR12347633	3300036407	41058001			desert soil	California, USA
Brasilonema	angustatum	HA4187-MV1	PRJNA617095	SRP274203	SRR12347719	3300036389	51374669			tropical soil	Hawaii, USA
Brasilonema	octagenarum	HA4186-MV1	PRJNA621669	SRP259811	SRR11678155	3300035014	41935410			on wood in tropics	Hawaii, USA
Calothrix	sp.	FI2-JRJ7	PRJNA617096	SRP274205	SRR12347730	3300036390	26844447			desert soil	California, USA
Camptylonemopsis	sp.	HA7290-LM1	PRJNA621663	SRP259800	SRR11678124	3300035008	36281317			cave rock wall	Hawaii, USA
Chroococcus	sp.	CMT-3BRIN-NPC107	PRJNA653492	SRP284468	SRR12688413	3300037833	47424890			desert soil	California, USA
Crinalium	sp.	CMT-3BRINC-NPC48	PRJNA650881	SRP290115	SRR12951525	3300038553	42048713			desert soil	California, USA
Cyanomagaritha	calcarea	GSE-NOS-MK-12-04C	PRJNA621661	SRP259795	SRR11676926	3300035006	30710984			desert wet wall	Utah, USA
Cyanosarcina	radialis	HA8281-LM2	PRJNA653493	SRP284467	SRR12688412	3300037834	39248498			cave rock wall	Hawaii, USA
Desmonostoc	geniculatum	HA4340-LM1	PRJNA621655	SRP259787	SRR11676647	3300035000	51944514			cave rock wall	Hawaii, USA
Desmonostoc	vinosum	HA7617-LM4	PRJNA650882	SRP290116	SRR12951526	3300038554	36690552			cave rock wall	Hawaii, USA
Drouetiella	hepatica	UHER 2000/2452	PRJNA617097	SRP274214	SRR12347860	3300036391	42783418			rock surface	Slovakia
Gloeocapsa	sp.	UFS-A4-WI-NPMV-4B04	PRJNA617098	SRP274217	SRR12347921	3300036443	29499512			desert soil	Utah, USA
Goleter	admare	HA4340-LM2	PRJNA621659	SRP259796	SRR11676930	3300035004	36243261			cave rock wall	Hawaii, USA
Hassallia	sp.	WJT32-NPBG1	PRJNA617099	SRP274218	SRR12347922	3300036392	33287445			desert soil	California, USA
